Двоемыс-ли-е🌚,0.0
,0.0
Курс Сванидзе повысился по отношению к доллару в связи с его заявлением.,0.0
"Искреннее желание встать на колени и довериться на милость победителю не угасает в этих долбоебах с 90-х. Почему до них не дошло, что нас просто поимели?!",1.0
"Ну по большому счёту он прав. Практически все члены нашего правительства или их семьи живут за бугром,имеют там недвижимость,бизнес и счета в банках. Чем не иноагент? Просто смешно когда люди так или иначе принадлежащие другим странам верещат на кого-то ""он иноагент!""",0.0
"он абсолютно прав,это как оружие,смотря в чьих руках находится,если у гитлера или путлера это во зло",1.0
"Всем кто упоминает либералов: как же хорошо, что ваших детей дальше станка не допустят 😊",0.0
"Русские либералы,хлебом не корми,любят полизать очко западу,особенно евреи-либералы",1.0
"""Это другое"" как эталон",1.0
,0.0
Либерахи. Либерахи никогда не меняются.,1.0
,0.0
"Куколд, бля",1.0
"Ну, вообще и правда интересно узнать, чем они отличаются. Кто-нибудь в курсе?",0.0
Российский либерал только и ищет кому сапоги вылизать уже 150 лет подряд,1.0
Они уже даже не стесняются.,0.0
"У них либерахи другие, хорошие, в России же вредные для страны",0.0
Классическое это другое,0.0
Еврей,0.0
Понимать надо!,0.0
(((Сванидзе))),0.0